NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superficie m²,ACCESIBILIDAD,NOMBRE-VIA,StreetAdressCompleta,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,TipoUniversidad,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoSportsCenter,TipoInstalacion
Biblioteca Pública Municipal David Gistau,,Biblioteca-Publica-Municipal-David-Gistau-(Salamanca),,sí,,"Metro: Diego de León (líneas 4,5 y 6), Manuel Becerra (línea 2)",,,,"Metro: Diego de León (líneas 4,5 y 6), Manuel Becerra (línea 2)","Diego de León , Manuel Becerra","4
5
6
2",,,,"Accesible
Bucle de inducción magnético",TOREROS,"TOREROS, 5","Avenida de los Toreros, Madrid",http://www.wikidata.org/entity/Q29918658,5,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28028,La Guindalera,http://www.wikidata.org/entity/Q3814559,Salamanca,,http://www.wikidata.org/entity/Q1773521,40.43199309720514,-3.670929243543714,917240804,bpdavidgistau@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Dámaso Alonso,,Biblioteca-Publica-Municipal-Damaso-Alonso-(Chamartin),,sí,,"Metro: Plaza de Castilla (líneas 1, 9 y 10) , Duque de Pastrana (línea 9)",,,,"Metro: Plaza de Castilla (líneas 1, 9 y 10) , Duque de Pastrana (línea 9)","Plaza de Castilla  , Duque de Pastrana","1
9
10",,,,"Accesible
Bucle de inducción magnético",MANUEL FERRERO,"MANUEL FERRERO, 1",calle MANUEL FERRERO Madrid,,1,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28036,Castilla,http://www.wikidata.org/entity/Q3813735,Chamartín,,http://www.wikidata.org/entity/Q1766348,40.467453379213175,-3.6846112774442705,913503150,bpdamasoalonso@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro,,Biblioteca-Publica-Municipal-Eugenio-Trias.-Casa-de-Fieras-de-El-Retiro-(Retiro),,sí,,Metro: Ibiza (línea 9),,,,Metro: Ibiza (línea 9),Ibiza,9,,,,"Accesible
Bucle de inducción magnético",FERNÁN NÚÑEZ,"FERNÁN NÚÑEZ, 24","Calle del Duque de Fernán Núñez, Madrid",http://www.wikidata.org/entity/Q29051517,24,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28009,Jerónimos,http://www.wikidata.org/entity/Q10306766,Retiro,,http://www.wikidata.org/entity/Q2002296,40.4166091081099,-3.6795930368034804,914804838,bpeugeniotrias@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Francisco Ayala,,Biblioteca-Publica-Municipal-Francisco-Ayala-(Vicalvaro),,sí,,Metro: Valdebernardo (línea 9),,,,Metro: Valdebernardo (línea 9),Valdebernardo,9,,,,"Accesible
Bucle de inducción magnético",INDALECIO PRIETO,"INDALECIO PRIETO, 21",calle INDALECIO PRIETO Madrid,,21,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28032,Valdebernardo,http://www.wikidata.org/entity/Q43025212,Vicálvaro,,http://www.wikidata.org/entity/Q589403,40.39982891410407,-3.621281890570377,913016466,bpfranciscoayala@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Francisco Ibáñez,,Biblioteca-Publica-Municipal-Francisco-Ibanez-(Chamartin),,sí,,"Metro: Concha Espina (línea 9), Prosperidad (línea 4)",,,,"Metro: Concha Espina (línea 9), Prosperidad (línea 4)","Concha Espina , Prosperidad","9
4",,,,"Accesible
Bucle de inducción magnético",MANTUANO,"MANTUANO, 51",Calle de Mantuano,http://www.wikidata.org/entity/Q27048291,51,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28002,Ciudad Jardín,http://www.wikidata.org/entity/Q3773744,Chamartín,,http://www.wikidata.org/entity/Q1766348,40.44810636195716,-3.6762309620097398,915103756,bpfranciscoibanez@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Francisco Umbral,,Biblioteca-Publica-Municipal-Francisco-Umbral-(Villaverde),,sí,,Cercanías: Villaverde Bajo.,Cercanías: Villaverde Bajo c3 c4,"C-3
C-4",: Villaverde Bajo,,,,,,,"Accesible
Bucle de inducción magnético",CALCIO,"CALCIO, 1",calle CALCIO Madrid,,1,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28021,Butarque,http://www.wikidata.org/entity/Q390453,Villaverde,,http://www.wikidata.org/entity/Q919536,40.35118703272002,-3.679345889376551,915883223,bpfranciscoumbral@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Gabriel García Márquez,,Biblioteca-Publica-Municipal-Gabriel-Garcia-Marquez-(Usera),,sí,,Metro: San Fermín - Orcasur (línea 3) Cercanías Renfe: Orcasitas (línea C5),Renfe: Orcasitas (línea C5),C-5,Orcasitas,Metro: San Fermín - Orcasur (línea 3),San Fermín - Orcasur,3,,,,"Accesible
Bucle de inducción magnético",PUEBLO,"PUEBLO, 2",calle PUEBLO Madrid,,2,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28041,Orcasur,http://www.wikidata.org/entity/Q10341270,Usera,,http://www.wikidata.org/entity/Q953368,40.366768324753416,-3.701141063083806,913188691,bpgarciamarquez@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Gerardo Diego,,Biblioteca-Publica-Municipal-Gerardo-Diego-(Villa-de-Vallecas),,sí,,Metro: Villa de Vallecas (línea 1),,,,Metro: Villa de Vallecas (línea 1),Villa de Vallecas,1,,,,"Accesible
Bucle de inducción magnético",MONTE AYA,"MONTE AYA, 12",calle MONTE AYA Madrid,,12,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28031,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,Villa de Vallecas,,http://www.wikidata.org/entity/Q1947988,40.37790196240434,-3.6227296605039516,913806633,bpgerardodiego@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Gloria Fuertes,,Biblioteca-Publica-Municipal-Gloria-Fuertes-(Barajas),,sí,,Metro: Alameda de Osuna (línea 5),,,,Metro: Alameda de Osuna (línea 5),Alameda de Osuna,5,,,,"Accesible
Bucle de inducción magnético",LOGROÑO,"LOGROÑO, 179",calle LOGROÑO Madrid,,179,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28042,Corralejos,http://www.wikidata.org/entity/Q10260772,Barajas,,http://www.wikidata.org/entity/Q807230,40.46055947228695,-3.5937461811785347,913120258,bpgloriafuertes@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Huerta de la Salud,,Biblioteca-Publica-Municipal-Huerta-de-la-Salud-(Hortaleza),,sí,,Metro: Parque de Santa María (línea 4),,,,Metro: Parque de Santa María (línea 4),Parque de Santa María,4,,,,"Accesible
Bucle de inducción magnético",MAR DE LAS ANTILLAS,"MAR DE LAS ANTILLAS, 10",calle MAR DE LAS ANTILLAS Madrid,,10,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28033,Pinar del Rey,http://www.wikidata.org/entity/Q10349788,Hortaleza,,http://www.wikidata.org/entity/Q1928529,40.47571688103069,-3.64667257750353,917645243,bphuertasalud@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Iván de Vargas,,Biblioteca-Publica-Municipal-Ivan-de-Vargas-(Centro),,sí,,"Metro: Sol (líneas 1, 2 y 3), Latina (línea 5) y Ópera (línea 2) Cercanías Renfe: Sol (líneas C3 y C4)",Renfe: Sol (líneas C3 y C4),"C-3
C-4",Sol,"Metro: Sol (líneas 1, 2 y 3), Latina (línea 5) y Ópera (línea 2)","Sol , Latina  y Ópera","1
2
3
5",,,,"Accesible
Bucle de inducción magnético",SAN JUSTO,"SAN JUSTO, 5","Calle de San Justo, Madrid",http://www.wikidata.org/entity/Q32458483,5,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28005,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,,http://www.wikidata.org/entity/Q1763376,40.41410290844665,-3.7098591212735883,917586211,bpivandevargas@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal José Hierro,,Biblioteca-Publica-Municipal-Jose-Hierro-(San-Blas-Canillejas),,sí,,Metro: Las Musas (línea 7),,,,Metro: Las Musas (línea 7),Las Musas,7,,,,"Accesible
Bucle de inducción magnético",MARIA SEVILLA DIAGO,"MARIA SEVILLA DIAGO, 15","Calle de María Sevilla Diago, Madrid",http://www.wikidata.org/entity/Q28972080,15,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28022,Rosas,http://www.wikidata.org/entity/Q18880469,San Blas-Canillejas,,http://www.wikidata.org/entity/Q2001937,40.433291625973624,-3.6105662311927453,"913135528
913135531",bpjosehierro@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal José Saramago,,Biblioteca-Publica-Municipal-Jose-Saramago-(Fuencarral-El-Pardo),,sí,,"Metro: Barrio del Pilar (línea 9), Peñagrande (línea 7)",,,,"Metro: Barrio del Pilar (línea 9), Peñagrande (línea 7)","Barrio del Pilar , Peñagrande","9
7",,,,"Accesible
Señalización podotáctil
Bucle de inducción magnético",MONFORTE DE LEMOS,"MONFORTE DE LEMOS, 38",calle MONFORTE DE LEMOS Madrid,,38,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28029,El Pilar,http://www.wikidata.org/entity/Q3773964,Fuencarral-El Pardo,,http://www.wikidata.org/entity/Q656196,40.47860087334554,-3.7094408342979954,915886891,bpjosesaramago@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal La Chata,,Biblioteca-Publica-Municipal-La-Chata-(Carabanchel),,sí,,"Metro: Eugenia de Montijo, Carabanchel (línea 5)",,,,"Metro: Eugenia de Montijo, Carabanchel (línea 5)","Eugenia de Montijo, Carabanchel",5,,,,"Accesible
Bucle de inducción magnético",GENERAL RICARDOS,"GENERAL RICARDOS, 252","Calle del General Ricardos, Madrid",http://www.wikidata.org/entity/Q5740542,252,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28025,Vista Alegre,http://www.wikidata.org/entity/Q3813741,Carabanchel,,http://www.wikidata.org/entity/Q1001991,40.38330593504341,-3.7420633861175796,914220533,bplachata@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal La Elipa,,Biblioteca-Publica-Municipal-La-Elipa-(Ciudad-Lineal),,sí,,Metro: La Elipa (línea 2),,,,Metro: La Elipa (línea 2),La Elipa,2,,,,"Accesible
Bucle de inducción magnético",NUESTRA SE&amp;Ntilde;ORA DEL VILLAR,"NUESTRA SE&amp;Ntilde;ORA DEL VILLAR, 6",calle NUESTRA SE&amp;Ntilde;ORA DEL VILLAR Madrid,,6,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28017,Ventas,http://www.wikidata.org/entity/Q71762,Ciudad Lineal,,http://www.wikidata.org/entity/Q1763694,40.42343352863466,-3.6518288644365704,914036322,bplaelipa@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Manuel Vázquez Montalbán,,Biblioteca-Publica-Municipal-Manuel-Vazquez-Montalban-(Tetuan),,sí,,Metro: Francos Rodríguez (línea 7),,,,Metro: Francos Rodríguez (línea 7),Francos Rodríguez,7,,,,"Accesible
Bucle de inducción magnético",FRANCOS RODRIGUEZ,"FRANCOS RODRIGUEZ, 67","Calle de Francos Rodríguez, Madrid",http://www.wikidata.org/entity/Q26810988,67,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28039,Bellas Vistas,http://www.wikidata.org/entity/Q11908929,Tetuán,,http://www.wikidata.org/entity/Q1773540,40.45749513485957,-3.710539712535917,"913980723
913980726",bpvazquezmontalban@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal Mario Vargas Llosa,,Biblioteca-Publica-Municipal-Mario-Vargas-Llosa-(Centro),,sí,,"Metro: Alonso Martínez (línea 10), Tribunal (líneas 1 y 10)",,,,"Metro: Alonso Martínez (línea 10), Tribunal (líneas 1 y 10)","Alonso Martínez , Tribunal","10
1",,,,"Accesible
Bucle de inducción magnético",BARCELO,"BARCELO, 4",calle de Barceló,http://www.wikidata.org/entity/Q27051120,4,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28004,Justicia,http://www.wikidata.org/entity/Q1992319,Centro,,http://www.wikidata.org/entity/Q1763376,40.426642215368176,-3.699722994908341,914802433,bpvargasllosa@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal María Lejárraga,,Biblioteca-Publica-Municipal-Maria-Lejarraga-(Hortaleza),,sí,,Metro: Blasco Ibáñez y Virgen del Cortijo (línea C2 Metro Ligero),,,,Metro Ligero),Metro Ligero),,,,,"Accesible
Bucle de inducción magnético",PRINCESA DE EBOLI,"PRINCESA DE EBOLI, 29",calle PRINCESA DE EBOLI Madrid,,29,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28050,Valdefuentes,http://www.wikidata.org/entity/Q10388714,Hortaleza,,http://www.wikidata.org/entity/Q1928529,40.49041562546542,-3.655356751728003,915133383,bpmarialejarraga@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
Biblioteca Pública Municipal María Zambrano,,Biblioteca-Publica-Municipal-Maria-Zambrano-(Tetuan),,sí,,Metro: Ventilla (línea 9),,,,Metro: Ventilla (línea 9),Ventilla,9,,,,"Accesible
Bucle de inducción magnético",DONOSO,"DONOSO, 5",calle de Donoso Cortés,http://www.wikidata.org/entity/Q27243288,5,Madrid,https://www.wikidata.org/wiki/Q2807,MADRID,28029,Almenara,http://www.wikidata.org/entity/Q2265427,Tetuán,,http://www.wikidata.org/entity/Q1773540,40.46903299144094,-3.6976620067964996,917339043,bpmariazambrano@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,,Library
