NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Colegio Mayor Juan Luis Vives,,Colegio-Mayor-Juan-Luis-Vives,,,mixto,"Metro: Plaza de Castilla (líneas 1, 9 y 10).",,,,"Metro: Plaza de Castilla (líneas 1, 9 y 10)",Plaza de Castilla,"1
9
10",,,,Accesible,FRANCISCO SUAREZ,calle FRANCISCO SUAREZ Madrid,,7,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28036,Nueva España,http://www.wikidata.org/entity/Q10338128,Chamartín,http://www.wikidata.org/entity/Q1766348,4.046.502.029.145.420,-36.845.899.986.944.400,914979900,cmluisvives@uam.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Juan XXIII Roncalli,,Colegio-Mayor-Juan-XXIII-Roncalli,,,femenino,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6), Ciudad Universitaria (línea 6)",,,,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6), Ciudad Universitaria (línea 6)","Vicente Aleixandre , Guzmán el Bueno , Ciudad Universitaria",6,,,,Accesible,RAMIRO DE MAEZTU,"Calle de Ramiro de Maeztu, Madrid",http://www.wikidata.org/entity/Q26833477,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.903.948.047.640,-37.180.373.012.857.000,915339408,direccion@roncalli.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Mara,,Colegio-Mayor-Mara,,,femenino,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).",,,,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7)","Vicente Aleixandre , Guzmán el Bueno","6
7",,,,No accesible,JUAN XXIII,"Paseo de Juan XXIII, Madrid",http://www.wikidata.org/entity/Q28367318,15,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.958.307.800.650,-37.160.919.870.624.100,915536604,secretaria@colegiomayormara.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Marqués de la Ensenada,,Colegio-Mayor-Marques-de-la-Ensenada,,,mixto,Consultar los siguientes enlaces:,,,,,,,,,,Accesible,SENECA,calle SENECA Madrid,,18,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.043.444.043.139.220,-3.733.543.743.924.680,915497100,info@cmumarquesdelaensenada.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Mater Salvatoris,,Colegio-Mayor-Mater-Salvatoris,,,femenino,Consultar los siguientes enlaces:,,,,,,,,,,No accesible,VALDESQUI,calle VALDESQUI Madrid,,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28023,Valdemarín,http://www.wikidata.org/entity/Q10388725,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.046.404.258.469.890,-37.710.701.028.693.100,913071243,madrid.cmu@matersalvatoris.org,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Méndel,,Colegio-Mayor-Mendel,,,mixto,Metro: Vicente Aleixandre (línea 6).,,,,Metro: Vicente Aleixandre (línea 6),Vicente Aleixandre,6,,,,No accesible,RECTOR ROYO-VILLANOVA,"Calle del Rector Royo Villanova, Madrid",http://www.wikidata.org/entity/Q53998154,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.450.938.406.912.800,-3.716.699.793.684.650,915340700,director@cmmendel.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Montalbán,,Colegio-Mayor-Montalban,,,masculino,Metro:  Núñez de Balboa (líneas 5 y 9).,,,,Metro:  Núñez de Balboa (líneas 5 y 9),Núñez de Balboa,"5
9",,,,No accesible,DIEGO DE LEON,"Calle de Diego de León, Madrid",http://www.wikidata.org/entity/Q28059485,14,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28006,Castellana,http://www.wikidata.org/entity/Q4781,Salamanca,http://www.wikidata.org/entity/Q1773521,40.434.842.602.381.100,-3.684.160.626.397.250,685745752,info@cmmontalban.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Nuestra Señora de África,,Colegio-Mayor-Nuestra-Senora-de-africa,,,mixto,Metro: Vicente Aleixandre (línea 6),,,,Metro: Vicente Aleixandre (línea 6),Vicente Aleixandre,6,,,,Accesible,RAMIRO DE MAEZTU,"Calle de Ramiro de Maeztu, Madrid",http://www.wikidata.org/entity/Q26833477,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.925.799.673.550,-37.171.006.978.828.400,915540104,info.africa@eoi.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Nuestra Señora de Guadalupe,,Colegio-Mayor-Nuestra-Senora-de-Guadalupe,,,mixto,Metro: Moncloa (líneas 3 y 6).,,,,Metro: Moncloa (líneas 3 y 6),Moncloa,"3
6",,,,Accesible,SENECA,calle SENECA Madrid,,4,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,404.365.837.060.789,-37.255.298.689.626.700,915435200,info.guadalupe@eoi.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Pío XII,,Colegio-Mayor-Pio-XII,,,masculino,Metro: Vicente Aleixandre (línea 6).,,,,Metro: Vicente Aleixandre (línea 6),Vicente Aleixandre,6,,,,No accesible,JUAN XXIII,"Paseo de Juan XXIII, Madrid",http://www.wikidata.org/entity/Q28367318,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.491.451.422.510,-37.200.680.644.720.500,915141711,info@colegiomayorpioxii.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Poveda,,Colegio-Mayor-Poveda,,,femenino,"Metro: Vicente Aleixandre (línea 6), Gúzman el Bueno (líneas 6 y 7).",,,,"Metro: Vicente Aleixandre (línea 6), Gúzman el Bueno (líneas 6 y 7)","Vicente Aleixandre , Gúzman el Bueno","6
7",,,,Accesible,ISAAC PERAL,calle de Isaac Peral,http://www.wikidata.org/entity/Q26791245,60,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Vallehermoso,http://www.wikidata.org/entity/Q6122685,Chamberí,http://www.wikidata.org/entity/Q1763370,40.442.963.646.266.800,-37.190.211.475.612.600,914562589,secretaria@cmppoveda.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Santa María de Europa,,Colegio-Mayor-Santa-Maria-de-Europa,,,mixto,"Metro: Islas Filipinas (línea 7), Canal (líneas 2 y 7).",,,,"Metro: Islas Filipinas (línea 7), Canal (líneas 2 y 7)","Islas Filipinas , Canal","7
2",,,,No accesible,CEA BERMUDEZ,calle de Cea Bermúdez,http://www.wikidata.org/entity/Q26791743,17,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28003,Arapiles,http://www.wikidata.org/entity/Q10856744,Chamberí,http://www.wikidata.org/entity/Q1763370,40.438.685.506.832.600,-37.091.237.782.947.600,913946646,ccmm@ucm.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Santa María del Pino,,Colegio-Mayor-Santa-Maria-del-Pino,,,femenino,Metro: Islas Filipinas (línea 7),,,,Metro: Islas Filipinas (línea 7),Islas Filipinas,7,,,,Accesible,SAN FRANCISCO DE SALES,"Paseo de San Francisco de Sales, Madrid",http://www.wikidata.org/entity/Q27267304,13,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28003,Vallehermoso,http://www.wikidata.org/entity/Q6122685,Chamberí,http://www.wikidata.org/entity/Q1763370,4.044.040.601.048.900,-37.162.462.206.445.700,915432409,secretaria@colegiomayorpino.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Santa Mónica,,Colegio-Mayor-Santa-Monica,,,femenino,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).",,,,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7)","Vicente Aleixandre , Guzmán el Bueno","6
7",,,,No accesible,JUAN XXIII,"Paseo de Juan XXIII, Madrid",http://www.wikidata.org/entity/Q28367318,19,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.045.035.239.946.320,-37.146.291.167.019.000,915333001,secretaria@cmumonica.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Santa Teresa de Jesús,,Colegio-Mayor-Santa-Teresa-de-Jesus,,,mixto,Consulta los siguientes enlaces:,,,,,,,,,,Accesible,SENECA,calle SENECA Madrid,,12,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.043.522.158.947.950,-3.730.558.119.606.540,913941008,,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Somosierra,,Colegio-Mayor-Somosierra,,,femenino,"Metro: Concha Espina (línea 9), Colombia (líneas 8 y 9).",,,,"Metro: Concha Espina (línea 9), Colombia (líneas 8 y 9)","Concha Espina , Colombia","9
8",,,,Sin información sobre accesibilidad para personas con movilidad reducida,VICTOR DE LA SERNA,calle VICTOR DE LA SERNA Madrid,,13,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28016,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,Chamartín,http://www.wikidata.org/entity/Q1766348,4.045.338.463.229.640,-3.672.607.650.534.370,618746081,cmsomosierra@cmsomosierra.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Universitario San Agustín,,Colegio-Mayor-Universitario-San-Agustin,,,mixto,Bus: U.,,,,,,,Bus: U,,,Accesible,ANTONIO NEBRIJA,calle de Antonio Nebrija,http://www.wikidata.org/entity/Q28483871,4,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.043.672.037.843.150,-37.276.073.977.792.400,915505000,colegio@cmusa.net,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Universitario Santillana,,Colegio-Mayor-Universitario-Santillana,,,masculino,"Metro: Paco de lucía (línea 9)  Cercanías Renfe: Mirasierra-Paco de Lucia (líneas C3a, C7, C8 y Regional).","Renfe: MirasierraPaco de Lucia (líneas C3a, C7, C8 y Regional)","C-3
C-7
C-8",Mirasierra-Paco de Lucia,Metro: Paco de lucía (línea 9),Paco de lucía,9,,,,No accesible,MARBELLA,calle MARBELLA Madrid,,60,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28034,Mirasierra,http://www.wikidata.org/entity/Q31134,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,4.049.465.964.836.940,-37.062.096.187.224.400,917355031,cmsantillana@cmsantillana.org,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Vedruna,,Colegio-Mayor-Vedruna,,,femenino,"Metro: Guzmán El Bueno (línea 6 y 7), Vicente Aleixandre (línea 6).",,,,"Metro: Guzmán El Bueno (línea 6 y 7), Vicente Aleixandre (línea 6)","Guzmán El Bueno , Vicente Aleixandre","6
7",,,,Accesible,PRESIDENTE GARCIA MORENO,calle PRESIDENTE GARCIA MORENO Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28003,Vallehermoso,http://www.wikidata.org/entity/Q6122685,Chamberí,http://www.wikidata.org/entity/Q1763370,40.445.605.369.642.500,-3.714.995.329.761.430,"915342306
915342306",recepcion@cmvedruna.org,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Escuela de Práctica Jurídica,,Escuela-de-Practica-Juridica,,,,"Metro: Noviciado (línea 2), Plaza de España (líneas 3 y 10).",,,,"Metro: Noviciado (línea 2), Plaza de España (líneas 3 y 10)","Noviciado , Plaza de España","2
3
10",,,,Sin información sobre accesibilidad para personas con movilidad reducida,AMANIEL,calle de Amaniel,http://www.wikidata.org/entity/Q24694982,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28015,Universidad,http://www.wikidata.org/entity/Q10387767,Centro,http://www.wikidata.org/entity/Q1763376,4.042.503.902.541.330,-37.091.208.409.661.000,915327391,epj@epj.es,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
polytechnic,http://www.wikidata.org/entity/Q845392,Escuela-Politecnica-de-Ensenanza-Superior-(EPES),,,,Metro: Vicente Aleixandre (línea 6),,,,Metro: Vicente Aleixandre (línea 6),Vicente Aleixandre,6,,,,Sin información sobre accesibilidad para personas con movilidad reducida,JUAN XXIII,"Paseo de Juan XXIII, Madrid",http://www.wikidata.org/entity/Q28367318,11,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.793.793.568.310,-3.717.285.250.885.190,"910670679
910670676",secretaria.epes@upm.es,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
Escuela Superior de Diseño,,Escuela-Superior-de-Diseno,,,,Metro: Vinateros (línea 9).,,,,Metro: Vinateros (línea 9),Vinateros,9,,,,Sin información sobre accesibilidad para personas con movilidad reducida,CAMINO DE LOS VINATEROS,Calle Camino de los Vinateros,http://www.wikidata.org/entity/Q28935892,106,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28030,Marroquina,http://www.wikidata.org/entity/Q11935636,Moratalaz,http://www.wikidata.org/entity/Q2076109,40.409.090.881.121.200,-36.488.257.296.912.500,914390000,esd.madrid@educa.madrid.org,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Escuela Técnica Superior de Edificación,,Escuela-Tecnica-Superior-de-Edificacion,,,,"Metro: Ciudad Universitaria (línea 6), Moncloa (línea 3)",,,,"Metro: Ciudad Universitaria (línea 6), Moncloa (línea 3)","Ciudad Universitaria , Moncloa","6
3",,,,Sin información sobre accesibilidad para personas con movilidad reducida,JUAN DE HERRERA,"Calle de Juan de Herrera, Madrid",http://www.wikidata.org/entity/Q52153099,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.439.061.141.330.200,-37.317.253.526.397.600,910675234,comunicacion.edificacion@upm.es,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio,,Escuela-Tecnica-Superior-de-Ingenieria-Aeronautica-y-del-Espacio,,,,"Metro: Ciudad Universitaria (línea 6), Moncloa (líneas 3 y 6)",,,,"Metro: Ciudad Universitaria (línea 6), Moncloa (líneas 3 y 6)","Ciudad Universitaria , Moncloa","6
3",,,,Sin información sobre accesibilidad para personas con movilidad reducida,CARDENAL CISNEROS,"Calle del Cardenal Cisneros, Madrid",http://www.wikidata.org/entity/Q28016841,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.098.319.331.980,-37.246.487.290.907.200,"910675534
910675572",,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",,"Escuela-Tecnica-Superior-de-Ingenieria-Agronomica,-Alimentaria-y-de-Biosistemas",,,,Metro: Ciudad Universitaria (línea 6).,,,,Metro: Ciudad Universitaria (línea 6),Ciudad Universitaria,6,,,,Sin información sobre accesibilidad para personas con movilidad reducida,PUERTA DE HIERRO,calle PUERTA DE HIERRO Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.440.899.945.359.300,-3.728.076.234.171.520,"910670742
910670743",comunicacion.etsiaab@upm.es,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
"Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural",,"Escuela-Tecnica-Superior-de-Ingenieria-de-Montes,-Forestal-y-del-Medio-Natural",,,,Metro: Vicente Aleixandre o Ciudad Universitaria(línea 6).,,,,Metro: Vicente Aleixandre o Ciudad Universitaria(línea 6),Vicente Aleixandre o Ciudad Universitaria,6,,,,Sin información sobre accesibilidad para personas con movilidad reducida,JOSE ANTONIO NOVAIS,calle JOSE ANTONIO NOVAIS Madrid,,10,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.448.485.414.321.800,-3.724.507.841.206.360,"910671510
910671509",comunicacion.montes@upm.es,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,,Escuela-Tecnica-Superior-de-Ingenieria-de-Sistemas-Informaticos,,,,"Metro: Sierra de Guadalupe (línea 1).  Cercanías Renfe: Vallecas ( líneas C-7a, C-2 o C-1)",Vallecas C1 C2 C7,"C-1
C-2
C-7",Vallecas,Metro: Sierra de Guadalupe (línea 1),Sierra de Guadalupe,1,,,,Sin información sobre accesibilidad para personas con movilidad reducida,ALAN TURING,calle ALAN TURING Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28030,Palomeras Sureste,http://www.wikidata.org/entity/Q10343901,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,4.039.037.030.758.320,-3.626.968.215.943.050,"910673534
910673524",negociado.alumnos.etsisi@upm.es,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
