NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Parque de la Volatería,,Parque-de-la-Volateria,no,,,"Metro: línea 11 (San Francisco)  Bus: 116,121,131,155",,,,Metro: línea 11 (San Francisco),línea 11,11,"Bus: 116,121,131,155","116
121
131
155",158058,Instalación parcialmente accesible para personas con movilidad reducida,POBLADOS,avenida de los Poblados,http://www.wikidata.org/entity/Q26795575,110,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28054,Buenavista,http://www.wikidata.org/entity/Q953929,Carabanchel,http://www.wikidata.org/entity/Q1001991,40.37342722778796,-3.732581210214349,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque de las Avenidas,,Parque-de-las-Avenidas,sí,,,"Metro: Parque de las Avenidas (línea 7) Bus: 53, 122, 74, 43, N3.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Parque de las Avenidas (línea 7),Parque de las Avenidas,7,"Bus: 53, 122, 74, 43, N3","53
122
74
43
3",47000,Instalación parcialmente accesible para personas con movilidad reducida,BRASILIA,calle BRASILIA Madrid,,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28028,La Guindalera,http://www.wikidata.org/entity/Q3814559,Salamanca,http://www.wikidata.org/entity/Q1773521,40.44185168357492,-3.6610753472863737,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque del Bronce,,Parque-del-Bronce,no,,,"Bus: 62, 88 y 148  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 62, 88 y 148","62
88
148",28800,Instalación parcialmente accesible para personas con movilidad reducida,BRONCE,calle BRONCE Madrid,,5,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28045,Legazpi,http://www.wikidata.org/entity/Q3773990,Arganzuela,http://www.wikidata.org/entity/Q2000929,40.390471636161195,-3.6875778883164587,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque del Espinillo,,Parque-del-Espinillo,sí,,,"Metro: Ciudad de los Ángeles (línea 3) Bus: 23, 130  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Ciudad de los Ángeles (línea 3),Ciudad de los Ángeles,3,"Bus: 23, 130","23
130",73188,Instalación parcialmente accesible para personas con movilidad reducida,UNANIMIDAD,calle UNANIMIDAD Madrid,,23,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28041,Los Rosales,http://www.wikidata.org/entity/Q10319807,Villaverde,http://www.wikidata.org/entity/Q919536,40.361196526923834,-3.6853017812008,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque del Museo del Prado,,Parque-del-Museo-del-Prado,no especifica,,,"Metro: Atocha (línea 1). Bus: 10 , 14 , 27 , 34 , 37 , 45 , 59 , 141. RENFE: Atocha RENFE.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",RENFE,,,Metro: Atocha (línea 1),Atocha,1,"Bus: 10 , 14 , 27 , 34 , 37 , 45 , 59 , 141","10
14
27
34
37
45
59
141",12900,Instalación parcialmente accesible para personas con movilidad reducida,PRADO,Calle del Prado,http://www.wikidata.org/entity/Q16389845,11,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28014,Jerónimos,http://www.wikidata.org/entity/Q10306766,Retiro,http://www.wikidata.org/entity/Q2002296,40.41374876020892,-3.6924939830736947,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Pinar Santa Eugenia,,Pinar-Santa-Eugenia,no especifica,,,"Bus: 14, 58 RENFE: Santa Eugenia  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",RENFE: Santa Eugenia C2,C-2,: Santa Eugenia,,,,"Bus: 14, 58","14
58",136270,Instalación parcialmente accesible para personas con movilidad reducida,CERRO DE ALMODOVAR,calle CERRO DE ALMODOVAR Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28031,Casco Histórico de Vicálvaro,http://www.wikidata.org/entity/Q16544374,Vicálvaro,http://www.wikidata.org/entity/Q589403,40.386190698831044,-3.605345456872275,,,/contenido/entidadesYorganismos/ParquesJardines/ParquesForestales,ParquesJardines
Plaza Mayor de Barajas,,Plaza-Mayor-de-Barajas,no especifica,,,"Metro: Línea 8 (Barajas)  Bus: 101  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Línea 8 (Barajas),Línea 8,8,Bus: 101,101,,Instalación parcialmente accesible para personas con movilidad reducida,MAYOR DE BARAJAS,calle MAYOR DE BARAJAS Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28042,Casco Histórico de Barajas,http://www.wikidata.org/entity/Q9701730,Barajas,http://www.wikidata.org/entity/Q807230,40.4735113714068,-3.57805132010274,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Plaza de Murillo,http://www.wikidata.org/entity/Q115799392,Plaza-de-Murillo,no especifica,,,"Metro: línea 1 (Atocha)  Bus: 10,14, 27, 34, 37, 45  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: línea 1 (Atocha),línea 1,1,"Bus: 10,14, 27, 34, 37, 45","10
14
27
34
37
45",5436,Instalación parcialmente accesible para personas con movilidad reducida,MURILLO,calle de Bravo Murillo,http://www.wikidata.org/entity/Q5740815,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28014,Jerónimos,http://www.wikidata.org/entity/Q10306766,Retiro,http://www.wikidata.org/entity/Q2002296,40.41290521872114,-3.692004931820884,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Plaza de la Lealtad,,Plaza-de-la-Lealtad,no especifica,,,"Metro: línea 1 (Atocha), línea 2 (Banco de España) Bus: 10, 14,27,34,37,45  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: línea 1 (Atocha), línea 2 (Banco de España)","línea 1 , línea 2","1
2","Bus: 10, 14,27,34,37,45","10
14
27
34
37
45",8600,Instalación parcialmente accesible para personas con movilidad reducida,PLAZA DE LA LEALTAD,calle PLAZA DE LA LEALTAD Madrid,,,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28014,,,Retiro,http://www.wikidata.org/entity/Q2002296,40.41687551533723,-3.6934169057776667,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Rosaleda de Madrid. Parque del Oeste,,Rosaleda-de-Madrid.-Parque-del-Oeste,no especifica,,,"Transporte más próximo Bus: 41, 46, 75   También puedes acceder desde metro:   Arg&amp;uuml;elles   Príncipe Pío",,,,metro:   Arguelles   Príncipe Pío,metro:   Arguelles   Príncipe Pío,,"Bus: 41, 46, 75","41
46
75",32000,Instalación parcialmente accesible para personas con movilidad reducida,ROSALEDA,calle ROSALEDA Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28008,Casa de Campo,http://www.wikidata.org/entity/Q16302441,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.42633204176242,-3.722298777408928,"915489512
3",sviveros@madrid.es,/contenido/entidadesYorganismos/ParquesJardines/ColeccionesBotanicas,ParquesJardines
Vivero Estufas de El Retiro,,Vivero-Estufas-de-El-Retiro,no especifica,,,"Metro: Atocha (línea 1), Ibiza (línea 9) Bus: 26, 63 , 152, C1, C2  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Atocha (línea 1), Ibiza (línea 9)","Atocha , Ibiza","1
9","Bus: 26, 63 , 152, C1, C2","26
63
152
1
2",35000,Instalación parcialmente accesible para personas con movilidad reducida,ANGEL CAIDO,calle ANGEL CAIDO Madrid,,4,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28009,Jerónimos,http://www.wikidata.org/entity/Q10306766,Retiro,http://www.wikidata.org/entity/Q2002296,40.409899256936335,-3.6823305487957123,915280938,viveroestufasretiro@madrid.es,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Vivero de la Casa de Campo,,Vivero-de-la-Casa-de-Campo,no especifica,,,"Metro: Príncipe Pío (líneas 6 y 10 y ramal), Lago (línea 10)  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Príncipe Pío (líneas 6 y 10 y ramal), Lago (línea 10)","Príncipe Pío , Lago","6
10",,,170000,Instalación parcialmente accesible para personas con movilidad reducida,AZUL,Calle de los Caídos de la División Azul,http://www.wikidata.org/entity/Q29793566,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28011,Casa de Campo,http://www.wikidata.org/entity/Q16302441,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.41984158690351,-3.7286969080235455,"915267703
915268142",viverocasacampo@madrid.es  o infocasacampo@madrid.es,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Vivero municipal de Migas Calientes,,Vivero-municipal-de-Migas-Calientes,no especifica,,,,,,,,,,,,73000,No accesible,M-30,calle M-30 Madrid,,2200,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.445355536117184,-3.7399742609916697,626527364,viveromigascalientes@madrid.es,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Zona verde C/ Fresnedillas,,Zona-verde-C/-Fresnedillas,no,,,,,,,,,,,,,Instalación parcialmente accesible para personas con movilidad reducida,FRESNEDILLAS,calle FRESNEDILLAS Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28035,Fuentelarreina,http://www.wikidata.org/entity/Q10286156,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,40.477263871475174,-3.7430025162285188,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Área Forestal de Tres Cantos,,area-Forestal-de-Tres-Cantos,no especifica,,,,,,,,,,,,2285600,Instalación parcialmente accesible para personas con movilidad reducida,M-607,calle M-607 Madrid,,2100,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28049,El Pardo,http://www.wikidata.org/entity/Q3314337,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,40.582362517713584,-3.7054314643264945,,,/contenido/entidadesYorganismos/ParquesJardines/ParquesForestales,ParquesJardines
