NOMBRE,Matched_URL,AFORO,CERCANIAS,AUTOBUSES,METRO,ACCESIBILIDAD,VIA,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
Centro Cultural Gloria Fuertes (Barajas),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Avenida Logroño,Madrid,28042,Corralejos,Barajas,40.46063087,-3.593669442,913 120 243,ccgloriafuertes@madrid.es,Centros Culturales
Centro Cultural Hortaleza,,122,Informacion no disponible,Informacion no disponible,4,1,Calle Santa Virgilia,Madrid,28033,Pinar Del Rey,Hortaleza,40.47682411,-3.642049746,913 821 493,cchortaleza@madrid.es,Centros Culturales
Centro Cultural Huerta de la Salud (Hortaleza),,114,Informacion no disponible,Informacion no disponible,4,1,Calle Mar De Las Antillas,Madrid,28033,Pinar Del Rey,Hortaleza,40.47484736,-3.645543866,913 825 309,cultuhortaleza@madrid.es,Centros Culturales
Centro Cultural José Luis López Vázquez (San Blas - Canillejas),,194,Informacion no disponible,Informacion no disponible,Informacion no disponible,2,Calle Febrero,Madrid,28022,Rejas,San Blas-canillejas,40.44682673,-3.572738289,913 293 900,ccjllopezvazquez@madrid.es,Centros Culturales
Centro Cultural José Luis Sampedro (Latina),,Informacion no disponible,C5,55,Informacion no disponible,1,Calle Castroserna,Madrid,28047,Lucero,Latina,40.40159394,-3.749110841,915 267 820 / 915 267 821,cclucero@madrid.es,Centros Culturales
Centro Cultural Juan Genovés (Moncloa - Aravaca),,300,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Travesia Ca&amp;ntilde;o,Madrid,28023,Aravaca,Moncloa-aravaca,40.45867842,-3.786349904,917 401 596,ccjgenoves@madrid.es,Centros Culturales
Centro Cultural Juan Gris (Moncloa - Aravaca),,Informacion no disponible,Informacion no disponible,Informacion no disponible,7,0,Calle Francos Rodriguez,Madrid,28039,Valdezarza,Moncloa-aravaca,40.45786266,-3.712247607,914 507 865,ccjuangris@madrid.es,Centros Culturales
Centro Cultural La Vaguada (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,"49 , 83 , 128 , 132 y 137",9,1,Avenida Monforte De Lemos,Madrid,28029,El Pilar,Fuencarral-el Pardo,40.47900813,-3.709138378,915 886 883,cclavaguada@madrid.es,Centros Culturales
Centro Cultural Las Californias (Retiro),,80,Informacion no disponible,Informacion no disponible,1,1,Calle Luis Peidro,Madrid,28007,Adelfas,Retiro,40.39702156,-3.673876651,915 016 942,cclascalifornias@madrid.es,Centros Culturales
Centro Cultural Lavapiés (Centro),https://www.wikidata.org/wiki/Q56427704,80,Informacion no disponible,Informacion no disponible,3,1,Calle Olivar,Madrid,28012,Embajadores,Centro,40.40967899,-3.701556979,915 060 712,cclavapies@madrid.es,Centros Culturales
Centro Cultural Lope de Vega (Puente de Vallecas),,41,Informacion no disponible,Informacion no disponible,2,1,Calle Concejo De Teverga,Madrid,28053,Entrevias,Puente De Vallecas,40.38629699,-3.671858416,917 570 580,cclopedevega@madrid.es,Centros Culturales
Centro Cultural Los Rosales (Villaverde),,193,Informacion no disponible,Informacion no disponible,3 y 4,1,Avenida Los Rosales,Madrid,28021,Butarque,Villaverde,40.3507522,-3.677296127,917 109 273,cclosrosales@madrid.es,Centros Culturales
Centro Cultural Mercado de Ibiza (Retiro),,Informacion no disponible,Informacion no disponible,Informacion no disponible,9,1,Calle Ibiza,Madrid,28009,Ibiza,Retiro,40.41817872,-3.677376337,915 572 601,ccibiza@madrid.es,Centros Culturales
Centro Cultural Meseta de Orcasitas (Usera),,280,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Plaza Asociacion,Madrid,28041,Orcasitas,Usera,40.36969488,-3.708117917,913 415 677,ccmesetaorcasitas@madrid.es,Centros Culturales
Centro Cultural Miguel Hernández (Latina),,154,C5,Informacion no disponible,Informacion no disponible,1,Calle Serradilla,Madrid,28044,Las Aguilas,Latina,40.3788538,-3.781961611,917 066 300 / 917 108 523,ccmiguelh@madrid.es,Centros Culturales
Centro Cultural Moncloa (Moncloa - Aravaca) - CERRADO,,Informacion no disponible,Informacion no disponible,Informacion no disponible,3 y 6,3,Plaza Moncloa,Madrid,28008,Arguelles,Moncloa-aravaca,40.43520944,-3.718872514,Informacion no disponible,Informacion no disponible,Centros Culturales
Centro Cultural Nicolás Salmerón (Chamartín),,234,Informacion no disponible,Informacion no disponible,9,1,Calle Mantuano,Madrid,28002,Ciudad Jardin,Chamartin,40.44834125,-3.676199241,915 103 751,ccnsalmeron@madrid.es,Centros Culturales
Centro Cultural Orcasur (Usera),,255,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Plaza Pueblo,Madrid,28041,Orcasur,Usera,40.36677217,-3.701135219,913 188 090,ccorcasur@madrid.es,Centros Culturales
Centro Cultural Príncipe de Asturias (Ciudad Lineal),,246,Informacion no disponible,Informacion no disponible,5,"1,5,6",Calle Hermanos Garcia Noblejas,Madrid,28037,Pueblo Nuevo,Ciudad Lineal,40.43644651,-3.637292426,917 767 810,ccprincipeasturias@madrid.es,Centros Culturales
Centro Cultural Puerta de Toledo (Centro),https://www.wikidata.org/wiki/Q2657591,100,Informacion no disponible,Informacion no disponible,5,1,Avenida Gran Via De San Francisco,Madrid,28005,Palacio,Centro,40.40741061,-3.711916886,913 662 728,ccptoledo@madrid.es,Centros Culturales
Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca),,65,Informacion no disponible,Informacion no disponible,Informacion no disponible,"1,5",Calle Enrique D'almonte,Madrid,28028,Fuente Del Berro,Salamanca,40.42206923,-3.662960804,915 570 808,quintaberro@madrid.es,Centros Culturales
Centro Cultural San Francisco La Prensa (Carabanchel),,216,Informacion no disponible,Informacion no disponible,11,1,Calle Aliseda,Madrid,28025,Puerta Bonita,Carabanchel,40.37691448,-3.741625611,914 284 911,ccprensa@madrid.es,Centros Culturales
Centro Cultural San Juan Bautista (Ciudad Lineal),,277,Informacion no disponible,Informacion no disponible,4,1,Calle San Nemesio,Madrid,28043,San Juan Bautista,Ciudad Lineal,40.4522471,-3.658029028,914 157 705,ccsanjuanbautista@madrid.es,Salas Estudio Lectura
Centro Cultural Sanchinarro (Hortaleza),,404,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Princesa De Eboli,Madrid,28050,Valdefuentes,Hortaleza,40.49042201,-3.655346789,915 000 603,info@centroculturalsanchinarro.com,Centros Culturales
Centro Cultural Sara Montiel (Latina),,170,Informacion no disponible,Informacion no disponible,65,1,Carretera Boadilla Del Monte,Madrid,28024,Campamento,Latina,40.39976468,-3.775144918,915 120 890,ccsaramontiel@madrid.es,Centros Culturales
Centro Cultural Usera 1,,Informacion no disponible,Informacion no disponible,Informacion no disponible,6,1,Avenida Rafaela Ybarra,Madrid,28026,Pradolongo,Usera,40.3811146,-3.711149676,915 887 214,ccusera@madrid.es,Centros Culturales
Centro Cultural Usera 2,,Informacion no disponible,Informacion no disponible,Informacion no disponible,6,0,Calle Felipe Castro,Madrid,28026,Pradolongo,Usera,40.38430442,-3.709071425,914 764 204,ccusera@madrid.es,Centros Culturales
Centro Cultural Valdebernardo (Vicálvaro),,280,Informacion no disponible,Informacion no disponible,9,1,Bulevar Indalecio Prieto,Madrid,28032,Valdebernardo,Vicalvaro,40.39983214,-3.621272027,913 016 460 / 913 016 462,ccvaldebernardo@madrid.es,Centros Culturales
Centro Cultural Zazuar (Villa de Vallecas),,164,Informacion no disponible,Informacion no disponible,Informacion no disponible,"1,6",Calle Zazuar,Madrid,28031,Santa Eugenia,Villa De Vallecas,40.38281867,-3.606137708,913 322 529,cczazuar@madrid.es,Centros Culturales
Centro Cultural el Madroño (Vicálvaro),,250,Informacion no disponible,Informacion no disponible,9,1,Calle Villardondiego,Madrid,28032,Casco H.Vicalvaro,Vicalvaro,40.40529229,-3.608615296,917 753 140,ccelmadrono@madrid.es,Centros Culturales
Centro Cultural el Torito (Moratalaz),,200,Informacion no disponible,Informacion no disponible,9,1,Avenida Moratalaz,Madrid,28030,Vinateros,Moratalaz,40.40610656,-3.646521483,913 287 385,cceltorito@madrid.es,Centros Culturales
Centro Cultural la Elipa (Ciudad Lineal),,250,Informacion no disponible,Informacion no disponible,2,1,Calle Santa Felicidad,Madrid,28017,Ventas,Ciudad Lineal,40.42446957,-3.650420141,914 055 312,ccelipa@madrid.es,Centros Culturales
Centro Danza Matadero - CDM,,449,C5,Informacion no disponible,3 y 6,1,Paseo Chopera,Madrid,28045,Chopera,Arganzuela,40.39245798,-3.69720679,Informacion no disponible,Informacion no disponible,Teatros
Centro Dotacional Integrado Arganzuela Ángel del Río,,151,"C1, C7 y C10",Informacion no disponible,"1, 7 y 10",1,Calle Canarias,Madrid,28045,Palos De La Frontera,Arganzuela,40.40242417,-3.695444006,915 063 610,cdiarganzuela@madrid.es,Centros Culturales
Centro Integrado Santiago Apóstol (Hortaleza),,Informacion no disponible,Informacion no disponible,"7, 29 y 129",4,1,Calle Carrion De Los Condes,Madrid,28033,Apostol Santiago,Hortaleza,40.4760847,-3.658119534,913 835 941,Informacion no disponible,Centros Culturales
"Centro Intergeneracional Ouka Leele.
Centro Juvenil-planta 2",,Informacion no disponible,Informacion no disponible,"148, 156, 62, T32 y N13",3 y 6,1,Calle Bronce,Madrid,28045,Legazpi,Arganzuela,40.3893677,-3.688438313,Teléfonos: 913809582 / 660338938 (también WhatsApp),actividades@cjoukaleele.com,Oficinas Informacion Juvenil
Centro Intergeneracional Río Esmeralda,,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Lago Maracaibo,Madrid,28018,Portazgo,Puente De Vallecas,40.38320267,-3.652021249,657 948 066,centro.rioesmeralda@gmail.com,Centros Culturales
Centro Juvenil Carabanchel Alto,,Informacion no disponible,Informacion no disponible,35 y 47,11,1,Calle Alfonso Fernandez,Madrid,28044,Buenavista,Carabanchel,40.3668227,-3.755451104,91 4006417 Móvil/WhatsApp: 636 04 55 86,cjcarabanchel@centrosjuvenilesmadrid.com,Oficinas Informacion Juvenil
Centro Juvenil El Aleph (Villa de Vallecas),,Informacion no disponible,informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Zazuar,Madrid,28031,Santa Eugenia,Villa De Vallecas,40.38257934,-3.605454614,91 3312725 Móvil/WhatsApp: 683 51 65 65,cjelaleph@centrosjuvenilesmadrid.com,Oficinas Informacion Juvenil
Centro Juvenil El Pardo,,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Avenida Padre Cipriano,Madrid,28048,El Pardo,Fuencarral-el Pardo,40.51964199,-3.778542673,913 760 652 Móvil/WhatsApp: 653 39 89 57,cjelpardo@centrosjuvenilesmadrid.com,Oficinas Informacion Juvenil
Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),,Informacion no disponible,Informacion no disponible,"54, 58, 103, 142, 143 y N9",1,1,Calle Real De Arganda,Madrid,28031,Santa Eugenia,Villa De Vallecas,40.37953682,-3.616901586,91 3320198 Móvil/WhatsApp: 606 00 04 09,cjelsitiodemirecreo@centrosjuvenilesmadrid.com,Oficinas Informacion Juvenil
Centro Juvenil Hontalbilla (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,"66, 124 y 137, 154 y N24",10,0,Calle Hontalbilla,Madrid,28034,Valverde,Fuencarral-el Pardo,40.49231828,-3.690634208,917 364 378 Móvil/WhatsApp: 606 00 38 52,cjhontalbilla@centrosjuvenilesmadrid.com,Oficinas Informacion Juvenil
Centro Juvenil Pipo Velasco (Usera),,Informacion no disponible,Informacion no disponible,"6, 60, 78 y 81",Informacion no disponible,1,Calle Avena,Madrid,28026,Zofio,Usera,40.37738097,-3.715659888,609619978,actividadespipo@gmail.com,Oficinas Informacion Juvenil
Centro Juvenil Tetuán Punto Joven,,Informacion no disponible,C1 y C2,"5, 45, 66, 127, 128 y 14","1, 2 y 6",0,Calle Dulcinea,Madrid,28020,Cuatro Caminos,Tetuan,40.44719985,-3.699877192,915 347 744 Móvil/WhatsApp: 606 00 37 79,cjtetuan@centrosjuvenilesmadrid.com,Oficinas Informacion Juvenil
Centro Sefarad - Israel,https://www.wikidata.org/wiki/Q111651292,Informacion no disponible,"C3, C3a y C4",Informacion no disponible,"1, 2 y 3",3,Calle Mayor,Madrid,28013,Palacio,Centro,40.41532291,-3.711227066,913 911 002,centro@sefarad-israel.es,Consorcios
Centro Social Comunitario Josefa Amar,,Informacion no disponible,Informacion no disponible,Informacion no disponible,9,1,Calle Matilde Landa,Madrid,28029,Almenara,Tetuan,40.47319941,-3.694081266,917 330 258,participaciontetuan@madrid.es,Centros Sociales Comunitarios
Centro Social Polivalente de Vicálvaro,,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Avenida Real,Madrid,28032,Casco H.Vicalvaro,Vicalvaro,40.4024922,-3.607017788,917 602 468 (centralita),Informacion no disponible,Centros Culturales
Centro Sociocultural  Siena (Ciudad Lineal),,Informacion no disponible,Informacion no disponible,Informacion no disponible,5,0,Calle Siena,Madrid,28027,Quintana,Ciudad Lineal,40.43316891,-3.651871341,914 039 011,cscsiena@madrid.es,Centros Culturales
Centro Sociocultural Alberto Sánchez (Puente de Vallecas),,80,Informacion no disponible,Informacion no disponible,1,1,Calle Risco De Peloche,Madrid,28038,Numancia,Puente De Vallecas,40.39361902,-3.655601684,917 570 320,cscalbertosanchez@madrid.es,Centros Culturales
Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Mira El Rio,Madrid,28048,El Pardo,Fuencarral-el Pardo,40.51967331,-3.777905569,913 762 060,ccelpardo@madrid.es,Centros Culturales
Centro Sociocultural Almirante Churruca (Latina),,120,C5,17 y 34,Informacion no disponible,1,Calle Fuente Del Tiro,Madrid,28024,Las Aguilas,Latina,40.38298359,-3.780089056,915 090 581 / 917 053 794,ccchurruca@madrid.es,Centros Culturales
Centro Sociocultural Aula de Aire Libre (Puente de Vallecas),,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,0,Calle Sierra Carbonera,Madrid,28053,San Diego,Puente De Vallecas,40.39010139,-3.665323572,917 570 189 / 915 887 325 / 915 887 307,aalibrepvallecas@madrid.es,Centros Culturales
Centro Sociocultural Blasco Ibáñez (Carabanchel),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,0,Calle Soldado Jose Maria Rey,Madrid,28019,San Isidro,Carabanchel,40.39496103,-3.732763403,914 280 555,ccblascoibanez@madrid.es,Centros Culturales
Centro Sociocultural Bohemios (Villaverde),,158,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Los Bohemios,Madrid,28041,Los Angeles,Villaverde,40.35639654,-3.694050185,917 109 260,ccbohemios@madrid.es,Centros Culturales
Centro Sociocultural Ciudad Lineal,,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Poeta Blas De Otero,Madrid,28017,Ventas,Ciudad Lineal,40.42285716,-3.651680076,917 817 494,cscciudadlineal@madrid.es,Centros Culturales
Centro Sociocultural Clara Campoamor (Retiro),,Informacion no disponible,Informacion no disponible,Informacion no disponible,1 y 6,"1,4,5",Centro Cultural Daoiz Y Velarde,Madrid,Informacion no disponible,Informacion no disponible,Distrito,40.40199771,-3.677655206,915 886 348,culturetiro@madrid.es,Centros Culturales
Centro Sociocultural Cánovas del Castillo (Usera),,Informacion no disponible,Informacion no disponible,Informacion no disponible,3,1,Calle Julio Aguirre,Madrid,28026,Almendrales,Usera,40.38627312,-3.700074756,915 005 489,canovascastillocs@madrid.es,Centros Culturales
Centro Sociocultural Eduardo Chillida (Moratalaz),,Informacion no disponible,Informacion no disponible,Informacion no disponible,9,1,Calle Arroyo Belincoso,Madrid,28030,Media Legua,Moratalaz,40.40934483,-3.653036719,913 339 141,ccechillida@madrid.es,Centros Culturales
Centro Sociocultural El Greco (Latina),,100,Informacion no disponible,"33, 36, 39 y 65",10,1,Calle El Greco,Madrid,28011,Lucero,Latina,40.40731633,-3.747465417,914 793 261 / 914 793 150,ccgreco@madrid.es,Centros Culturales
Centro Sociocultural Francisco Fatou (Villa de Vallecas),,94,Informacion no disponible,Informacion no disponible,1,1,Calle Manuel Velez,Madrid,28031,Casco H.Vallecas,Villa De Vallecas,40.37959032,-3.623108757,913 806 620,ccfranciscofatou@madrid.es,Centros Culturales
Centro Sociocultural García Lorca (Carabanchel),,80,Informacion no disponible,Informacion no disponible,11,1,Calle Eugenia De Montijo,Madrid,28044,Buenavista,Carabanchel,40.37420818,-3.751028391,915 110 370,ccgarcialorca@madrid.es,Centros Culturales
Centro Sociocultural José de Espronceda (Tetuán),,96,Informacion no disponible,Informacion no disponible,"1, 2 y 6",1,Calle Almansa,Madrid,28039,Bellas Vistas,Tetuan,40.44864333,-3.704513192,915 536 160 / 915 536 480,cscjespronceda@madrid.es,Centros Culturales
Centro Sociocultural Juvenil de Moratalaz,,Informacion no disponible,Informacion no disponible,Informacion no disponible,9,1,Calle Fuente Carrantona,Madrid,28030,Pavones,Moratalaz,40.39928543,-3.636600379,915 880 459,ccjmoratalaz@madrid.es,Centros Culturales
Centro Sociocultural Juvenil de Usera,,Informacion no disponible,Informacion no disponible,Informacion no disponible,6,1,Calle Cuesta,Madrid,28026,Moscardo,Usera,40.38986587,-3.707459144,913 920 541,cjusera@madrid.es,Centros Culturales
Centro Sociocultural Las Tablas (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,"172, 175 y 176",Informacion no disponible,1,Avenida Camino De Santiago,Madrid,28050,Valverde,Fuencarral-el Pardo,40.49617854,-3.674217384,915886883,cultufuencarral@madrid.es,Centros Culturales
Centro Sociocultural Latina,,Informacion no disponible,C5,Informacion no disponible,Informacion no disponible,1,Calle Rodrigo De Arana,Madrid,28044,Las Aguilas,Latina,40.37963665,-3.765949245,915 095 470 / 915 095 471,juvenlatina@madrid.es,Centros Culturales
Centro Sociocultural Luis Gonzaga (Chamartín),,Informacion no disponible,Informacion no disponible,Informacion no disponible,9,1,Calle Principe De Vergara,Madrid,28002,Ciudad Jardin,Chamartin,40.44490241,-3.678078836,915 886 596 / 915 885 219,juvenlgonzaga@madrid.es,Centros Culturales
Centro Sociocultural Maestro Alonso (Salamanca),,150,Informacion no disponible,Informacion no disponible,2 y 5,1,Calle Maestro Alonso,Madrid,28028,Fuente Del Berro,Salamanca,40.42939276,-3.664846244,917 268 800,ccmaestroalonso@tritoma.es,Centros Culturales
Centro Sociocultural Marconi (Villaverde),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Acceso Colonia Marconi,Madrid,28021,Villaverde Alto C.H.,Villaverde,40.33475585,-3.700803722,917 100 232,ccmarconi@madrid.es,Centros Culturales
Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),,125,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Aliaga,Madrid,28022,Canillejas,San Blas-canillejas,40.4366557,-3.611351728,917 430 078,ccmcervantes@madrid.es,Centros Culturales
Centro Sociocultural Montecarmelo (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Carretera M-607 Km 13 L-10,Madrid,28049,El Goloso,Fuencarral-el Pardo,40.51571229,-3.68605329,917 364 151,ccmontecarmelo@madrid.es,Centros Culturales
Centro Sociocultural Oporto (Carabanchel),,106,Informacion no disponible,Informacion no disponible,5 y 6,2,Avenida Oporto,Madrid,28019,Opañel,Carabanchel,40.38682741,-3.727749307,914 603 801,ccoporto@madrid.es,Centros Culturales
Centro Sociocultural Rafael de León (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,"49 , 64 , 67 , 83  y 133",7,1,Calle Isla De Ons,Madrid,28035,Peña Grande,Fuencarral-el Pardo,40.48025613,-3.721468678,917 310 350,ccrleon@madrid.es,Centros Culturales
Centro Sociocultural Rosario de Acuña (Latina),,90,Informacion no disponible,"119,138 y 158",Informacion no disponible,1,Calle Maria Del Carmen,Madrid,28011,Puerta Del Angel,Latina,40.40647389,-3.732701092,914 649 304,ccrosarioacuna@madrid.es,Centros Culturales
Centro Sociocultural San Cristóbal de los Ángeles (Villaverde),,76,C3,Informacion no disponible,3,1,Plaza Pinazo,Madrid,28021,San Cristobal,Villaverde,40.3426836,-3.691440255,917 100 692 / 917 100 413,ccscangeles@madrid.es,Centros Culturales
Centro Sociocultural San Fermín (Usera),,Informacion no disponible,Informacion no disponible,Informacion no disponible,3,1,Calle Estafeta,Madrid,28041,San Fermin,Usera,40.37165429,-3.692056898,917 920 111,ccsanfermin@madrid.es,Centros Culturales
Centro Sociocultural Santa Petronila (Villaverde),,146,C3 y C4,Informacion no disponible,3,1,Calle Maria Martinez Oviol,Madrid,28021,Los Rosales,Villaverde,40.35088699,-3.691498125,917 791 204,ccspetronila@madrid.es,Centros Culturales
